Adam	A Dong
who else?	ai nữa
to grieve and resent; grief and resentment, plaintive	ai oán
with pain	ai phong
pessimism	ai quan
obituary, death notice, sad news (of a death)	ai tín
person who has lost their mother, orphan	ai từ
to pay homage (to the dead), eulogize	ai điếu
who is there?	ai đó?
who is it? who goes there?	ai đấy
to fancy	ai đời
small pagoda, temple; cottage, shack, hermitage, secluded hut	am
half-sibling	am em dị bào
to know well, know a lot about, understand thoroughly; knowledgeable	am hiểu
to know something inside and out	am hiểu cặn kẽ về gì
experienced, practiced	am luyện
temple in the clouds, secluded Buddhist convent or temple	am mây
ampere	am pe
ampere hour	am pe giờ
ammeter	am pe kế
amplifier	am pli
phial, ampoule	am pun
to be well versed, conversant with, knowledgeable in	am thục
to know thoroughly, know well, be familiar, intimate with	am tường
small temple, pagoda	am tự
(1) peace, safety, security, safe, secure; (2) saddle	an
to pacify the country	an bang
to pacify the border	an biên
album	an bom
albumen, albumin	an bu min
to arrange, display, preordain, forecast, predestine	an bài
content with one’s poverty, satisfied with one’s (poor) fate	an bần
alkaloid	an ca lô ít
to leave in peace	an cư
to live in peace, happiness with one’s occupation	an cư lạc nghiệp
to calm (quiet, reassure) the population or people	an dân
to rest (to regain one’s health), convalesce	an dưỡng
health resort, sanatorium, rest home	an dưỡng đường
to live a leisurely life, live in peace	an dật
first cousins	an em chú bác
algin	an gin
to sleep soundly, sleep like a log; sound (of sleep)	an giấc
to sleep an endless sleep	an giấc nghìn thu
to sleep the long sleep	an giấc ngàn thu
algorithm	an go rít
to enjoy (peacefully)	an hưởng
to pass one’s old age peacefully	an hưởng tuổi già
peace, calm, stillness, peaceful life; tranquil, peaceful	an hảo
safe and sound	an khang
bureaucracy, officialdom	an liêu
relaxed, having peace of mind, calm, comfortable	an lòng
peace and comfort or contentment	an lạc
to rest peacefully	an nghĩ
easy, relaxed, leisurely	an nhàn
Sabbath, holy day	an nhật
peace, health, security, safety	an ninh
border security	an ninh biên giới
public welfare	an ninh công cộng
chemical security	an ninh hóa học
naval security	an ninh hải quân
traffic security	an ninh hệ thống liên lạc
industrial security	an ninh kỹ nghệ
cryptography	an ninh mật mã
national security	an ninh quốc gia
domestic security	an ninh quốc nội
local security	an ninh sở tại
physical security	an ninh thực thể
transmission security	an ninh truyền tin
Social Security	an ninh xã hội bắt đầu
alpha	an pha
alphabet	an pha bê
content, happy	an phận
content with one’s situation	an phận thủ thường
welfare	an sinh
dumbbell	an te
quiet, tranquil, not worried, safe and sound, unharmed	an thân
sedative, tranquilizer; to tranquillize	an thần
safety, security; safe, secure	an toàn
flank security	an toàn bên sườn
data security	an toàn dữ liệu
safety area, security zone	an toàn khu
workplace, occupational safety	an toàn lao động
security on the march	an toàn lúc di chuyền
frontal security	an toàn mặt trước
anti-mechanical security	an toàn phòng cơ giới
radiological security	an toàn phóng xạ
product safety	an toàn sản phẩm
to banish, exile; banishment, exile	an trí
talented man	an tài
to bury	an táng
having piece of mind, not worried; assurance, peace	an tâm
alto	an tô
quiet, tranquility	an tĩnh
quiet, peaceful	an tịnh
sitting, seated	an tọa
to rest	an tức
(gun) benzoin	an tức hương
seated, in one’s seat, in place, in one’s seat	an vị
aldehyde	an đê hít
stable, firm	an định
to comfort, console, mitigate, ease, alleviate; comfort, solace	an ủi
to comfort oneself	an ủi mình
to comfort the victims	an ủi nạn nhân
cassia grandis	and ginger
bushel, container, crock, wide-mouthed vase	ang
approximately; to make a rough estimate	ang áng
(1) young man, elder brother, first cousin (son of parent’s older sibling), form of address to a young man; (2) England, (Great) Britain; (3) canary; (4) infant; (5) flower; (6) male hero	anh
Mr. Bau	anh Báu
cook	anh bếp
guy, fellow, young man, he, him	anh chàng
lady’s man	anh chàng nịnh đầm
(1) Mr. and Mrs. (of young adults); (2) bully, rouge; ringleader, chieftain	anh chị
everyone, friends	anh chị em
brother in law (husband’s oldest brother)	anh chồng
first cousin (son of parent’s older sibling)	anh con nhà bác
a young cadre	anh cán bộ
eldest brother, oldest brother	anh cả
make yourself at home	anh cứ tự nhiên như ở nhà anh
brave, valiant, heroic, courageous	anh dũng
brothers and sisters, siblings, brothers, comrades	anh em
good, close (sibling-like) friend	anh em bạn
disagreeing brothers	anh em bất hòa
brothers and friends everywhere	anh em bầu bạn xa gần
first cousins	anh em chú bác
brothers and sisters	anh em chị em
brothers in law	anh em cột chèo
half-brother, half-sister	anh em dị bào
cousins	anh em họ
the Wright brothers	anh em nhà Wright
brother and sister, sibling	anh em ruột
teammates	anh em trong tổ
brothers by the same mother, compatriot, fellow countryman, fellow citizens	anh em đồng bào
beauty, elegance, brilliance, quintessence	anh hoa
infant	anh hài
hero, man of worth	anh hào
hero; heroic	anh hùng
epic, saga, heroic song	anh hùng ca
adventurous, reckless	anh hùng chủ nghĩa
individualistically heroic	anh hùng cá nhận
heroes	anh hùng hào kiệt
hero of labor	anh hùng lao động
army hero	anh hùng quân đội
blustering bully	anh hùng rơm
cousin	anh họ
outstanding man, hero	anh kiệt
hallowed memory (of a deceased person)	anh linh
(male) driver	anh lái xe
clear-sighted and able	anh minh
babies, infants	anh nhi
child	anh nhỉ
cook (male)	anh nuôi
you ought to go to play	anh nên đi chơi
enlightened or wise king, monarch	anh quân
elder brother (by blood)	anh ruột
brother-in-law (husband of one’s elder sister)	anh rể
I will	anh sẽ
he	anh ta
he always dresses elegantly	anh ta bao giờ cũng ăn mặt nền nã
his change of mind came out of the blue	anh ta thay đổi ý kiến đột ngột
he is a man of very few words	anh ta ít lời lắm
he has come here, reportedly on business	anh ta đến đây, nói là có việc
interrupter	anh te ruýp tơ
young man	anh thanh niên
a naive young man	anh thanh niên ngờ nghệch
which color do you like best?	anh thích màu nào hơn
heroine	anh thư
primrose	anh thảo
eminent, distinguished, intelligent and handsome	anh tuấn
luminary, outstanding talent	anh tài
young male driver	anh tài xế
elegant and clever	anh tú
marijuana, poppy	anh túc
English literature	anh văn
(1) parrot; (2) nautilus; (3) type of fish (pseudogyrinochelus)	anh vũ
brother in law (wife’s older brother)	anh vợ
lovers	anh yến
full	anh ách
glistening, gleaming	anh ách ánh
gleaming, glimmering, glistening	anh ánh
you are going too fast	anh đi mau quá
cherry	anh đào
it’s me	anh đây
he	anh ấy
his anger has subsided	anh ấy đã ngớt giận
(1) pond; concave; (3) to measure (volume)	ao
polynia	ao băng
pond and pool	ao chuôm
fish pond	ao cá
reentrant angle	ao giác
ponds and lakes	ao hồ
reentrant	ao khúc tuyến
fishpond	ao nuôi cá
lotus pond	ao sen
stagnant pond	ao tù
ounce	ao xơ
to crave, yearn for, long for, long to, wish for	ao ước
bright and cheerful	au
(1) three, tri-; (2) father; (3) wave, ripple	ba
turtle	ba ba
a sure thing	ba bó một giạ
several	ba bảy
3D and four-sided, all sides	ba bề bốn bên
bugbear	ba bị
three or four	ba bốn
three or four times	ba bốn lần
three deaths	ba ca tử vong
to run at full speed	ba chân bốn cẳng
ups and downs	ba chìm bẩy nổi
three dots	ba chấm
bacon	ba chỉ
careless and fast	ba chớp ba nhoáng
thirty	ba chục
three times	ba cái
the three “with’s” (live with, eat with and work with)	ba cùng
fixed income	ba cọc ba đồng
three-month growth rice	ba giăng
tricycle, trike	ba gác
three-leaf clover	ba gạc
to brag, boast	ba hoa
now ~ now ~	ba hồi ~ ba hồi
three silences	ba không
codonopsis	ba kích
wavemeter	ba kế
garrulous, talkative, loquacious	ba lém
ballet	ba lê
field bag, field kit, knapsack, kit-bag	ba lô
football	ba lông
disorganized, undisciplined, idle, worthless, meaningless	ba lăng nhăng
three times	ba lần
father and mother	ba má
three spearhead-attack	ba mũi giáp công
thirty	ba mươi
day before Tết	ba mươi Tết
three days later	ba ngày sau
trinity	ba ngôi
tree houses	ba nóc nhà
three phase	ba pha
agreeing with everyone, without any opinion of one’s own; yes-man	ba phải
three-fourths	ba phần tư
crook, scoundrel	ba que
three resolves (in emulation movement)	ba quyết tâm
the three branches of the armed forces	ba quân
barrel	ba ren
barium	ba ri
fence, gate, barrier	ba ri e
mixed up, messed up	ba rọi
three autumns, three years	ba thu
banana tree	ba tiêu
stick, baton, cane	ba toong
ill-mannered, have improper speech or conduct, careless	ba toác
350	ba trăm rưỡi
patrol	ba tui
three rounds of serving wine or burning incense	ba tuần
run-down, uncared-for	ba vạ
parents	ba xuân
bazaar	ba za
basalt	ba zan
base	ba zơ
rolling waves, misfortune, ups and downs	ba đào
bazooka	ba đô ca
three responsibilities (women’s emulation movement)	ba đảm đang
superhuman strength	ba đầu sáu tay
3.50 piasters	ba đồng rưỡi
undulate	ba động
overcoat	ba đờ xuy
(1) to stretch out, extend; (2) byte	bai
glibly, volubly	bai bải
(1) board, committee, commission, department, section; (2) unit of time; (3) to confer, give, grant, award, bestow; (4) ball; (5) fever	ban
secretariat	ban bí thư
fever with eruption	ban bạch
to issue, promulgate (laws, regulations)	ban bố
to issue a law	ban bố luật pháp
afternoon, in the afternoon	ban chiều
typhoid fever	ban chua
executive board, executive committee	ban chấp hành
leadership council	ban chỉ đạo
typhoid fever	ban cua
balcony	ban công
supply (with), provide (with), furnish (with)	ban cấp
examining body	ban giám khảo
board of directors, management	ban giám đốc
to issue, pass (laws, etc.), publish	ban hành
to pass a law	ban hành luật
to issue a decree, order	ban hành sắc luật
theater group	ban hát
rose-drop	ban hồng
to praise, congratulate	ban khen
censorship board	ban kiểm duyệt
planning board, committee	ban kế hoạch
theater troupe, theatrical group	ban kịch
jelly (glue) made from antlers; megalossaur	ban long
early morning	ban mai
catharsis, cantharides	ban miêu
in the daytime, during the day	ban ngày
in broad daylight	ban ngày ban mặt
orchestra, band	ban nhạc
a (little) while ago, just now	ban nãy
just now, a short time ago, just a little while ago	ban nẫy
to distribute, dispense	ban phát
to bless	ban phước
board of directors or trustees	ban quản trị
this morning, in the morning	ban sáng
beginning stage, outset, origin	ban sơ
early morning	ban sớm
to reward	ban thưởng
hierarchy	ban thứ
(at) noon, noontime, midday	ban trưa
to grant, bestow, award	ban tặng
in the evening	ban tối
purpura	ban xuất huyết
investigative committee	ban điều tra
at night, during the night	ban đêm
at first, from the beginning, at the beginning, initially; initial	ban đầu
erythema, scarlet fever, scarlatina, measles	ban đỏ
to bestow favors, grant a favor	ban ơn
to grant a boon	ban ơn mưa móc
(1) state, country, nation; (2) to help, protect, assist	bang
assistant district chief, government clerk	bang biện
state, nation, country	bang gia
international relations	bang giao
formal relations	bang giao chính thức
head of a congregation	bang trưởng
to aid, help, assist	bang trợ
assistant district chief, government clerk	bang tá
ball, football	banh
(1) how much, many, so much, so many, some, any; (2) envelope, bag, pack, case, sleeve; to cover, enclose	bao
wrapping, packaging	bao bì
cover, envelope, covering; to envelope, protect	bao bọc
to screen, shield, protect	bao che
ballast	bao cát
budget subsidies	bao cấp
box of matches	bao diêm
generous, magnanimous; to tolerate; tolerance	bao dung
to organize, arrange, produce	bao giàn
paper bag	bao giấy
when, (at) what time, every time, always, any time, whenever	bao giờ
always, whenever	bao giờ cũng
anytime (is fine)	bao giờ cũng được
packaging	bao gói
bag of rice	bao gạo
to consist of, include, embrace, have, be made up of, comprise	bao gồm
perianth	bao hoa
to contain, include, comprise, cover	bao hàm
scabbard	bao kiếm
huge, immense, tremendous, vast	bao la
(reed) sack	bao lát
(for) how long, however long	bao lâu
balcony, railing (on a balcony)	bao lơn
indusium	bao mô
bed roll, bed sack, sleeping bag	bao ngủ
how much, how many, all, ever, however much, however many	bao nhiêu
any number (quantity, amount) will do	bao nhiêu cũng được
so many times, how many times	bao nhiêu lần
how many years, so many years	bao nhiêu năm
how many years of age	bao nhiêu tuổi
perianth	bao nhụy
not to mind	bao nài
much, how much?	bao nả
anther	bao phấn
pleura	bao phổi
to cover up, wrap, envelope, include	bao phủ
to surround, be surrounded by, circle, encompass	bao quanh
to contain, include, embrace	bao quát
barracks bag	bao quân trang
anthocarp	bao quả
to not mind (hardship)	bao quản
duffel bag	bao quần áo
rifle scabbard	bao súng
pistol holster	bao súng lục
to outflank	bao sườn
glove	bao tay
package of cigarettes	bao thuốc
pack of cigarettes	bao thuốc lá
powder bag	bao thuốc súng
envelope	bao thơ
to cover, embrace, include, wrap	bao trùm
pericardium	bao tâm
sash	bao tượng
bag, jute bag	bao tải
stomach	bao tử
to encircle, besiege, surround, blockade	bao vây
how far	bao xa
to protect	bao yểm
room and board	bao ăn ở
rucksack	bao đeo lưng
(1) to fly; (2) trowel; (3) you (plural); (4) to fade (of color)	bay
to vanish, disappear	bay biến
flowery, poetic, polished, refined	bay bướm
nose dive	bay bổ nhào
fly very high	bay bổng
tactical navigation	bay chiến thuật
to fly to	bay chuyền
crab	bay chếch ngang
traverse flying	bay hình chữ chi
to evaporate	bay hơi
instrument flying	bay không thấy phía trước
to fly very low	bay la
glide, soar, hover	bay liệng
hedge hopping	bay là là gần đất
to fly away, fly off	bay lên
zoom	bay lên theo đường thẳng đứng
to fly, hover, glide	bay lượn
inverted flight (of a plane)	bay lật úp
fade	bay màu
run	bay ngang
to move around, change jobs	bay nhẩy
instrument flying	bay nhờ khí cụ
to fly all about, flit about	bay nhởn nhơ
to fly by, fly across	bay qua
roll	bay quay tròn
to overshoot	bay quá mục tiêu
to circle (of an airplane)	bay quần
to pull out, lift up	bay ra
outside pin	bay soắn đảo ngược
maneuvering flight	bay thao dượt
flight at lower altitude	bay thấp
test flight	bay thử
to fly into	bay vào
to besiege	bay vây
contour flying	bay vòng quanh
to fly around the moon	bay vòng quanh Mặt Trăng
to fly down, drop down	bay xuống
undulating flying	bay đảo lên đảo xuống
inverted flying	bay đảo ngược
base	bazơ
(1) flask, small wine bottle; (2) to bleat	be
bleat (of a goat)	be be
smallish	be bé
smeared, stained, crushed	be bét
secret	bem
bel; skip, dumpster, grab, bucket	ben
bentonite	ben tô nít
benzol, benzene	ben zen
to cut (off)	beng
noise of gongs	beng beng
to cut the neck of	beng cổ
to have one’s head cut off	beng mất đầu
panther; scraggy; to pinch	beo
fattish	beo béo
to pinch someone’s cheek	beo má
(1) tombstone, slab, stele; (2) marble (toy), pellet; (3) sad, sorrowful	bi
sad, tragic	bi ai
to stammer, babble	bi ba bi bô
elegy, plaint	bi ca
epitaph	bi chí
touching, moving	bi cảm
billiards, pool	bi di
sadness and gladness, grief and joy	bi hoan
sad	bi hoài
tragic comedy	bi hài kịch
dramatic poem	bi khúc
painful	bi khổ
stele, stone slab	bi ký
epigraphy	bi ký học
tragedy, drama	bi kịch
pessimistic, negative	bi quan
sad, mournful, melancholy	bi sầu
pathetic, mournful	bi thương
sad, painful, mournful	bi thảm
pathetic	bi tráng
epitaph	bi văn
rolling ball	bi xoay
tragic, heart-rending	bi đát
canteen	bi đông
(1) tombstone, stone, slab, stele; (2) target, bull’s eye; (3) beer	bia
target, bull’s eye	bia bắn
paper target	bia giấy
silhouette target	bia hình
towed target	bia kéo
public opinion	bia miệng
drogue target	bia móc
landscape target	bia phong cảnh
beer and wine, alcohol	bia rượu
drinks accompanied by female companionship	bia ôm
tombstone, stone slab, stele	bia đá
cannon fodder	bia đỡ đạn
battery	bin
apartment building	bin đinh
(1) soldier, military; (2) see bênh	binh
military revolt, mutiny	binh biến
military affairs	binh bị
military organization	binh chế
(armed) services, military	binh chủng
arsenal	binh công xưởng
strategy	binh cơ
military service	binh dịch
military man, soldier	binh gia
warfare, war	binh hỏa
weapon, arms	binh khí
under arms	binh khí sẵn sàng
arsenal	binh khố
soldiers, troops	binh lính
Quartermaster’s Corps	binh lương
military might, power, strength	binh lực
solders and horses; army	binh mã
military career	binh nghiệp
troops, army ranks	binh ngũ
military supplies	binh nhu
private (military rank) (E1)	binh nhì
private (military rank) (E2)	binh nhất
(military) strategy, tactics	binh pháp
military expenditures	binh phí
military uniform	binh phục
military rights, military power	binh quyền
solider, serviceman, troops	binh sĩ
elite troops, elite soldier	binh sĩ tinh nhuệ
service number	binh số
service	binh sở
military doctrine	binh thuyết
book on military tactics, military manual	binh thư
war situation	binh thế
propaganda with troops	binh vân
personnel carrier	binh vận xa
military affairs	binh vụ
arsenal, armory	binh xưởng
military, martial; war, warfare	binh đao
troop unit, command	binh đoàn
troops, forces	binh đội
(1) to write down, make a note (of something); (2) to weave (basket); (3) to edit, compile; (4) edge, limit, border	biên
minutes, report, log	biên bản
to note down, write down	biên chác
to transcribe, copy, write	biên chép
to annotate	biên chú
border, frontier, boundary	biên cương
border region, frontier area	biên cảnh
to translate, compile; compilation	biên dịch
border, frontier	biên giới
to publish (research)	biên khảo
receipt	biên lai
to encode; encoding	biên mã
sound encoding	biên mã âm thanh
to acknowledge receipt	biên nhận
chronicles	biên niên sử
border guard, frontier guard	biên phòng
to compile, edit, write	biên soạn
border, frontier	biên thùy
to edit, write	biên tập
editor, writer	biên tập viên
flank protection	biên vệ
lateral	biên âm
border, frontier	biên đình
